Track,Global_Corner_ID,driver_number,Entry_Speed,Apex_Speed,Exit_Speed,Speed_Delta,Braking_Pct_Before_Apex,Trail_Braking_Pct,Throttle_App_Pct_After_Apex,Coasting_Pct,Braking_Time_Pct,Average_Throttle,Min_Gear,Corner_Distance_m,Average_Speed
Monza,102,31,76,64,69,12,0.3748529564706107,0.3748529564706107,1.0,0.31562359025508513,0.2857142857142857,9.0,2,305.563102524096,68.57142857142857
Monza,102,40,81,70,78,11,0.0,0.0,1.0,0.513150328620061,0.0,18.166666666666668,2,342.22238609591557,75.16666666666667
Monza,102,44,82,68,81,14,0.43245865484915524,0.43245865484915524,1.0,0.24582033717064902,0.16666666666666666,18.333333333333332,3,351.1945361642541,74.16666666666667
Monza,102,55,78,70,111,8,0.5466730171015739,0.5466730171015739,1.0,0.0,0.2,37.0,2,540.9914988263124,81.8
Monza,102,63,83,68,84,15,0.562688982041863,0.562688982041863,1.0,0.24311599151704114,0.2857142857142857,18.571428571428573,3,430.05582491840806,75.28571428571429
Monza,102,77,80,72,84,8,0.0,0.0,1.0,0.4551930120151336,0.0,16.428571428571427,2,420.8652484234119,76.28571428571429
Monza,102,81,83,71,80,12,0.0,0.0,1.0,0.5324830186303484,0.0,17.0,2,332.00871074039725,76.85714285714286
Monza,103,1,153,109,109,44,0.6486078694327462,0.6486078694327462,1.0,0.3513921305672538,0.6666666666666666,1.0,3,463.0279244757493,130.33333333333334
Monza,103,2,138,104,104,34,0.7137886637149398,0.7137886637149398,1.0,0.2862113362850602,0.6666666666666666,0.8333333333333334,3,423.07732581580024,118.83333333333333
Monza,103,4,165,114,114,51,0.7012534229298442,0.7012534229298442,1.0,0.2987465770701558,0.8,1.0,3,571.9117077390495,134.2
Monza,103,10,139,113,113,26,0.5551725073097038,0.5551725073097038,1.0,0.4448274926902962,0.5,0.0,3,552.76637785148,125.5
Monza,103,11,161,107,107,54,0.6245056280641809,0.6245056280641809,1.0,0.26482203507244967,0.5714285714285714,4.571428571428571,3,671.6253206829555,126.85714285714286
Monza,103,14,146,104,104,42,0.7920438442990598,0.7920438442990598,1.0,0.20795615570094012,0.8,1.4,3,499.9435595284508,121.2
Monza,103,16,162,113,113,49,1.0,1.0,1.0,0.0,1.0,0.8,4,498.8928129771639,132.0
Monza,103,18,149,108,108,41,0.7844373140296609,0.7844373140296609,0.0,0.21556268597033912,0.7142857142857143,2.7142857142857144,3,510.81928781903173,123.28571428571429
Monza,103,20,153,113,113,40,0.7020158115401169,0.7020158115401169,1.0,0.2979841884598831,0.8333333333333334,0.5,3,565.145004339178,128.83333333333334
Monza,103,22,159,107,107,52,0.6678741117955073,0.6678741117955073,1.0,0.16589813764383002,0.6666666666666666,3.1666666666666665,3,540.6566056728755,127.66666666666667
Monza,103,23,160,107,107,53,0.7314364240552935,0.7314364240552935,1.0,0.16344436647762456,0.5,1.8333333333333333,3,538.3052031122855,123.83333333333333
Monza,103,24,142,105,105,37,0.6310247770908697,0.6310247770908697,1.0,0.25592492400200295,0.6,5.0,3,584.4137280071382,117.2
Monza,103,27,136,108,110,28,0.42450761551446503,0.42450761551446503,1.0,0.24395135631430362,0.3333333333333333,6.5,4,499.89722957068426,117.16666666666667
Monza,103,31,135,109,109,26,0.3112272798712224,0.3112272798712224,1.0,0.6887727201287775,0.4,0.4,3,358.485944721863,120.0
Monza,103,40,163,109,109,54,0.6709113097627648,0.6709113097627648,1.0,0.32908869023723514,0.6666666666666666,0.0,3,652.4696294278222,130.5
Monza,103,44,216,113,113,103,0.2699196271730169,0.2699196271730169,1.0,0.5021572069046923,0.4,3.4,3,624.8834711613313,145.4
Monza,103,55,142,115,115,27,0.7824832147184062,0.7824832147184062,1.0,0.21751678528159374,0.8,1.0,4,481.1645158370404,127.2
Monza,103,63,160,113,113,47,0.8431145044028701,0.8431145044028701,1.0,0.15688549559712991,0.8,0.0,3,524.071513758739,137.6
Monza,103,77,144,105,105,39,0.7553809857064934,0.6344396801696676,1.0,0.0,0.7142857142857143,8.857142857142858,3,540.558382634774,117.85714285714286
Monza,103,81,167,115,115,52,0.7526139252717797,0.7526139252717797,1.0,0.24738607472822013,0.6666666666666666,1.0,3,592.9241204405903,132.0
Monza,104,1,133,133,146,0,0.0,0.0,1.0,0.0,0.0,70.33333333333333,4,233.75429349632338,138.33333333333334
Monza,104,2,121,121,137,0,0.0,0.0,1.0,0.0,0.0,58.666666666666664,3,350.8229826214945,129.33333333333334
Monza,104,4,124,124,136,0,0.0,0.0,1.0,0.0,0.0,53.0,3,333.01055384464746,129.5
Monza,104,10,118,118,137,0,0.0,0.0,1.0,0.0,0.0,53.25,3,389.35074509996434,123.5
Monza,104,11,125,125,143,0,0.0,0.0,1.0,0.0,0.0,58.6,3,340.81502324553287,131.4
Monza,104,14,121,121,157,0,0.0,0.0,0.7109743596126226,0.0,0.0,79.66666666666667,3,703.6879953894111,140.66666666666666
Monza,104,16,126,126,176,0,0.0,0.0,1.0,0.0,0.0,81.0,4,596.5560901886229,145.33333333333334
Monza,104,18,121,121,135,0,1.0,0.0,1.0,0.0,0.25,49.5,3,411.4142458368884,127.5
Monza,104,20,123,120,133,3,0.0,0.0,1.0,0.0,0.0,44.75,3,421.33156744531993,124.75
Monza,104,22,121,121,141,0,0.0,0.0,1.0,0.0,0.0,74.33333333333333,3,239.73386804185978,129.66666666666666
Monza,104,23,133,133,139,0,0.0,0.0,1.0,0.0,0.0,41.333333333333336,3,216.44005704628393,135.33333333333334
Monza,104,24,118,118,146,0,0.0,0.0,1.0,0.0,0.0,69.5,4,477.25684527568114,128.75
Monza,104,27,131,131,162,0,0.0,0.0,0.4901249568472609,0.0,0.0,87.33333333333333,4,510.4151736400987,145.66666666666666
Monza,104,31,116,116,141,0,0.0,0.0,1.0,0.0,0.0,61.6,3,398.5926619874896,125.8
Monza,104,40,123,123,136,0,0.0,0.0,1.0,0.0,0.0,58.0,3,365.4335116136991,128.0
Monza,104,44,130,130,142,0,0.0,0.0,1.0,0.0,0.0,55.8,4,416.4661620817183,134.8
Monza,104,55,132,132,156,0,0.0,0.0,1.0,0.0,0.0,69.0,4,495.7721572601805,140.25
