Track,Driver_Number,Corner_ID,Apex_Speed,Exit_Speed,Speed_Delta,Corner_Distance_m,Max_Curvature,Braking_Dist_To_Apex_m,Trail_Braking_Pct,Throttle_App_From_Apex_m,Coasting_Pct,Average_Throttle,Minimum_Gear
Monza,22,3,302,308,0,965.3170756442414,0.06322662085740191,0.0,0.0,0.0,0.0,100.0,8
Monza,22,4,103,141,56,1050.4115284128602,0.2425461347881506,0.0,33.33333333333333,0.0,8.333333333333332,32.0,3
Monza,22,5,193,220,69,1811.9470474422887,1.2954450621946652,0.0,25.0,0.0,8.333333333333332,48.5,5
Monza,22,6,180,191,54,974.8465635657085,0.1935435559361306,0.0,37.5,0.0,25.0,33.5,5
Monza,22,7,251,279,0,1195.8570177338115,2.6303891840722335,0.0,0.0,0.0,0.0,100.0,6
Monza,22,8,185,185,51,897.4593918874671,0.22482819629563122,0.0,28.57142857142857,0.0,28.57142857142857,18.0,5
Monza,22,9,199,248,0,1812.7603570237188,0.17686105261435814,0.0,0.0,0.0,0.0,94.83333333333333,5
Monza,22,10,204,273,114,3887.0043802382934,0.1941848446064336,0.0,16.666666666666664,0.0,4.166666666666666,66.95833333333333,5
Monza,23,1,73,79,69,988.5371154579552,0.29745499663061625,146.29755473272235,43.75,0.0,18.75,5.4375,2
Monza,23,2,279,303,0,1915.3796011225295,0.1035710732196698,0.0,0.0,0.0,0.0,100.0,7
Monza,23,3,107,153,62,1216.1499471129573,0.20545413197366458,144.56917029747638,28.57142857142857,0.0,14.285714285714285,24.214285714285715,3
Monza,23,4,196,208,67,1596.6138953290501,0.1813545158409891,0.0,30.76923076923077,0.0,0.0,35.15384615384615,5
Monza,23,5,183,206,59,1337.3372809715038,0.18378436325925174,0.0,33.33333333333333,0.0,11.11111111111111,34.55555555555556,5
Monza,23,6,186,260,63,2776.970963288455,2.2763645044801075,0.0,14.285714285714285,0.0,4.761904761904762,67.19047619047619,5
Monza,23,7,207,276,57,3913.1477842308086,0.17742265977271532,0.0,20.833333333333336,0.0,0.0,63.583333333333336,6
Monza,24,1,66,77,76,908.6767391205703,1.2842615598373017,186.3071890075771,50.0,0.0,18.75,6.875,2
Monza,24,2,285,300,0,1466.6528770150871,0.09747675973110503,0.0,0.0,0.0,0.0,100.0,7
Monza,24,4,105,146,69,1359.783584938239,0.2519174189981408,0.0,30.76923076923077,0.0,0.0,33.0,3
Monza,24,5,182,217,77,1871.333157866342,0.3873954680882863,0.0,54.54545454545454,0.0,0.0,40.90909090909091,5
Monza,24,6,169,186,47,1038.4306574829352,0.2268816260838401,0.0,37.5,0.0,0.0,46.25,5
Monza,24,7,185,249,64,2968.6350044663195,2.290211121671495,0.0,16.666666666666664,0.0,0.0,68.72222222222223,5
Monza,24,8,199,272,42,3564.7562823878325,0.18628883798940055,0.0,18.181818181818183,0.0,0.0,70.45454545454545,6
Monza,27,1,74,89,56,981.6665549535355,0.32118067289387536,0.0,27.77777777777778,0.0,27.77777777777778,12.11111111111111,2
Monza,27,2,290,308,0,2135.368033225981,0.945773607373399,0.0,0.0,0.0,0.0,99.72727272727273,7
Monza,27,3,108,162,28,1196.9634599114652,0.25462081979633505,0.0,16.666666666666664,0.0,16.666666666666664,38.25,4
Monza,27,4,195,212,60,1752.41895362809,0.22967953330092306,0.0,36.36363636363637,0.0,0.0,44.72727272727273,5
Monza,27,5,173,197,34,1063.0203687875437,0.17561631309099301,0.0,33.33333333333333,0.0,11.11111111111111,40.22222222222222,5
Monza,27,6,184,192,123,1292.224174302697,0.2551409939124929,0.0,42.857142857142854,0.0,0.0,35.857142857142854,5
Monza,27,7,205,258,0,1752.2917534696608,1.8209968745725373,0.0,0.0,0.0,0.0,98.25,5
Monza,27,8,205,266,89,3358.759195030725,1.8463479850227908,0.0,23.809523809523807,0.0,9.523809523809524,65.28571428571429,6
Monza,27,9,283,301,0,1412.4149293569717,1.5409722369886296,0.0,0.0,0.0,0.0,100.0,7
Monza,31,1,64,69,95,987.6679399678324,0.30522598839015247,171.11735476491594,52.94117647058824,0.0,23.52941176470588,4.705882352941177,2
Monza,31,4,298,309,0,1538.7661503373984,0.1882574008363343,0.0,0.0,0.0,0.0,100.0,7
Monza,31,5,106,141,29,1082.9360543515577,0.23311072186956067,0.0,23.076923076923077,0.0,23.076923076923077,32.92307692307692,3
Monza,31,6,184,204,54,1617.237593830021,0.1903340423717778,124.47088012864697,46.15384615384615,0.0,0.0,39.53846153846154,5
Monza,31,7,172,186,37,827.9834424347682,1.717874682183299,105.64563407921742,62.5,0.0,0.0,30.0,5
Monza,31,8,179,181,56,711.6582176198863,2.2531128816696446,0.0,42.857142857142854,0.0,0.0,25.0,5
Monza,31,9,186,246,0,1757.1537544277162,0.15051610393979253,0.0,8.333333333333332,0.0,0.0,93.58333333333333,5
Monza,31,10,197,267,72,3631.064783175352,0.21816801770644378,0.0,25.0,0.0,0.0,65.58333333333333,5
Monza,40,1,70,78,72,990.5386703659351,1.2435005427302972,0.0,37.5,0.0,25.0,9.5,2
Monza,40,4,294,308,0,1739.4708886382596,0.0808816840683978,0.0,0.0,0.0,0.0,100.0,7
Monza,40,5,105,153,58,1226.9911161130294,0.22556835887165577,0.0,28.57142857142857,0.0,14.285714285714285,30.071428571428573,3
Monza,40,6,186,224,70,1767.7593449078668,0.2029708362219262,0.0,38.46153846153847,0.0,7.6923076923076925,42.53846153846154,5
Monza,40,7,177,184,28,958.978978135292,1.6657480331376529,170.60187572239738,33.33333333333333,231.31147831441558,22.22222222222222,37.333333333333336,5
Monza,40,8,186,257,60,3008.0797942163117,2.287122158028259,0.0,15.789473684210526,0.0,10.526315789473683,66.94736842105263,5
Monza,40,9,198,270,59,3396.582113599543,1.2778041053867455,0.0,19.047619047619047,0.0,9.523809523809524,66.0952380952381,5
Monza,44,1,68,81,103,981.7179078543177,0.3920779640057943,131.0521188423827,33.33333333333333,0.0,33.33333333333333,8.733333333333333,3
Monza,44,2,284,296,0,1216.8026559388472,0.08838620386827406,0.0,0.0,0.0,0.0,100.0,8
Monza,44,4,110,142,106,1263.629502345284,0.26949316158972825,0.0,15.384615384615385,0.0,15.384615384615385,36.76923076923077,3
Monza,44,5,197,216,64,1601.218113191786,0.5709031837970396,0.0,30.76923076923077,0.0,0.0,50.69230769230769,5
Monza,44,6,181,202,83,1344.823407177475,0.20521964730586562,0.0,33.33333333333333,0.0,11.11111111111111,42.77777777777778,5
Monza,44,7,188,260,59,2760.6491216309005,2.2666906718407347,0.0,23.52941176470588,0.0,0.0,72.17647058823529,5
Monza,44,8,297,307,0,918.8498087567496,1.6620250421481702,0.0,0.0,0.0,0.0,100.0,8
Monza,44,9,208,274,77,3806.083247725881,0.32508329350273923,0.0,20.0,0.0,0.0,74.0,6
Monza,55,1,70,111,63,1123.892439334034,0.41956387860809674,189.97767555891733,57.14285714285714,0.0,7.142857142857142,16.928571428571427,2
Monza,55,2,280,303,0,1824.4916472485893,0.07769078101680182,0.0,0.0,0.0,0.0,100.0,7
Monza,55,4,112,156,30,1129.2039656740417,0.25650612991462235,104.66135867644698,33.33333333333333,0.0,0.0,37.0,4
Monza,55,5,196,222,68,1735.1130740624612,1.2939981681629065,151.01324445226783,46.15384615384615,0.0,0.0,50.38461538461539,5
Monza,55,6,179,195,59,1056.5514649123506,0.24268019712867306,0.0,37.5,0.0,12.5,42.0,5
Monza,55,7,196,256,47,2780.8471091193715,1.9158477481049805,138.74076545846037,25.0,0.0,0.0,73.8,5
Monza,55,8,206,279,79,3902.6565244068115,0.21961422756541915,91.92388155424851,21.73913043478261,0.0,4.3478260869565215,66.6086956521739,6
Monza,55,9,293,303,0,1089.5619487627482,1.5504187130628124,0.0,0.0,0.0,0.0,99.0,7
Monza,63,1,68,84,97,1091.8222805888236,0.3301926029304132,171.12671619109096,50.0,0.0,16.666666666666664,9.944444444444445,3
Monza,63,2,286,300,0,1362.1136020742506,0.1029331129322168,0.0,0.0,0.0,0.0,100.0,8
Monza,63,4,109,171,51,1458.8756652330776,0.2781650151413941,151.53732646687058,30.76923076923077,0.0,7.6923076923076925,37.46153846153846,3
Monza,63,5,199,221,55,2172.1457711180446,0.23474885977864096,123.06502346320849,23.076923076923077,0.0,0.0,72.3076923076923,5
Monza,63,6,189,199,33,832.0858284139867,2.4680543566072286,0.0,42.857142857142854,0.0,14.285714285714285,34.714285714285715,5
Monza,63,7,217,254,0,898.2084875264081,2.661722279107233,0.0,0.0,0.0,0.0,100.0,5
Monza,63,8,196,259,89,3077.468070228002,0.26906862379457996,0.0,26.666666666666668,0.0,0.0,69.13333333333334,5
Monza,63,9,207,268,113,3543.2202291983704,1.7605389748266345,0.0,33.33333333333333,0.0,0.0,65.125,5
Monza,77,1,72,84,65,1090.30385545621,0.3822423306341296,0.0,41.17647058823529,0.0,17.647058823529413,10.647058823529411,2
Monza,77,2,274,298,0,1870.3569140308446,0.07863697721127139,0.0,0.0,0.0,0.0,100.0,7
Monza,77,4,105,135,39,1106.089332085401,0.2201162323987541,172.5421474697032,35.714285714285715,0.0,0.0,31.785714285714285,3
Monza,77,5,187,218,75,2015.5851282174517,0.2541439614564191,0.0,33.33333333333333,0.0,16.666666666666664,48.833333333333336,5
Monza,77,6,174,184,44,1091.7753837976597,0.23046241102830145,0.0,37.5,0.0,12.5,37.5,5
Monza,77,7,177,256,108,3219.399457072497,0.8349538346468,0.0,15.789473684210526,0.0,0.0,68.21052631578948,5
Monza,77,8,319,329,0,2325.7742418119087,1.662304750066915,0.0,0.0,0.0,0.0,100.0,8
Monza,77,9,198,279,71,4074.077820073937,0.26515760934791444,85.86617494683014,23.809523809523807,0.0,0.0,71.80952380952381,6
Monza,81,1,71,80,112,1085.2799232880152,1.5920697128189578,0.0,25.0,0.0,37.5,10.1875,2
